rank,orga,name,global_usages,license,categories,tags,last_stable_version,repository,usages,date,kept
1,junit,junit,133864,EPL 1.0,['Testing Frameworks & Tools'],"['testing', 'junit', 'quality']",4.13.2,Central,19129,"Feb 13, 2021",True
2,org.slf4j,slf4j-api,73694,MIT,['Logging Frameworks'],"['logging', 'api', 'slf4j']",2.0.16,Central,5317,"Aug 10, 2024",True
3,org.jetbrains.kotlin,kotlin-stdlib,72220,Apache 2.0,['JVM Languages'],"['jvm', 'language', 'library', 'kotlin', 'jetbrains']",2.1.10,Central,7147,"Jan 27, 2025",False
4,org.jetbrains.kotlin,kotlin-stdlib-common,40246,Apache 2.0,['JVM Languages'],"['jvm', 'language', 'library', 'kotlin', 'jetbrains']",2.1.10,Central,357,"Jan 27, 2025",False
5,com.google.guava,guava,39969,Apache 2.0,['Core Utilities'],"['google', 'guava', 'osgi', 'bundle']",33.4.0-jre,Central,2439,"Dec 17, 2024",True
6,org.scala-lang,scala-library,38068,Apache 2.0,['JVM Languages'],"['jvm', 'language', 'library', 'scala']",2.13.16,Central,1430,"Jan 10, 2025",False
7,org.jetbrains.kotlin,kotlin-stdlib-jdk8,34726,Apache 2.0,['Language Runtime'],"['language', 'library', 'kotlin', 'jdk', 'runtime', 'jetbrains']",2.1.10,Central,70,"Jan 27, 2025",False
8,org.mockito,mockito-core,33648,MIT,['Mocking'],"['quality', 'mock', 'mocking', 'testing', 'mockito']",5.15.2,Central,781,"Jan 02, 2025",True
9,com.fasterxml.jackson.core,jackson-databind,32518,Apache 2.0,['JSON Libraries'],"['format', 'binding', 'json', 'serialization', 'jackson']",2.18.2,Central,2025,"Nov 28, 2024",True
10,org.apache.commons,commons-lang3,31233,Apache 2.0,['Core Utilities'],"['apache', 'commons']",3.17.0,Central,2562,"Aug 29, 2024",True
11,ch.qos.logback,logback-classic,29662,EPL 1.0,['Logging Frameworks'],"['logback', 'logging']",1.5.16,Central,795,"Jan 05, 2025",True
12,commons-io,commons-io,29477,Apache 2.0,['I/O Utilities'],"['commons', 'io']",2.18.0,Central,1492,"Nov 19, 2024",True
13,org.projectlombok,lombok,27441,MIT,['Code Generators'],"['lombok', 'codegen', 'code', 'generator']",1.18.36,Central,1325,"Nov 15, 2024",True
14,com.google.code.gson,gson,25386,Apache 2.0,['JSON Libraries'],"['format', 'json', 'google', 'gson', 'serialization']",2.12.1,Central,438,"Jan 31, 2025",True
15,com.android.support,appcompat-v7,21430,Apache 2.0,"['Android Platform', 'Android Packages']","['support', 'compatibility', 'aar', 'platform', 'mobile', 'android']",28.0.0,Google,3976,"Sep 21, 2018",False
16,javax.servlet,javax.servlet-api,19729,CDDL,['Java Specifications'],"['standard', 'servlet', 'javax', 'api', 'specs']",4.0.1,Central,5370,"Apr 20, 2018",True
17,log4j,log4j,19541,Apache 2.0,['Logging Frameworks'],"['logging', 'log4j', 'osgi', 'bundle']",1.2.17,Central,10123,"May 26, 2012",True
18,org.clojure,clojure,19295,EPL 1.0,['JVM Languages'],"['clojure', 'jvm', 'language']",1.12.0,Central,280,"Sep 05, 2024",False
19,org.assertj,assertj-core,19184,Apache 2.0,['Assertion Libraries'],"['assert', 'quality', 'testing', 'assertion', 'assertj', 'validation']",3.27.3,Central,982,"Jan 18, 2025",True
20,org.scalatest,scalatest,18580,Apache 2.0,['Testing Frameworks & Tools'],"['quality', 'bundle', 'testing', 'scala', 'osgi']",3.2.19,Central,1324,"Jun 23, 2024",False
21,org.slf4j,slf4j-reload4j,17942,MIT,['Logging Bridges'],"['logging', 'bridge', 'slf4j']",2.0.16,Central,106,"Aug 10, 2024",True
22,org.junit.jupiter,junit-jupiter-api,17534,EPL 2.0,['Testing Frameworks & Tools'],"['quality', 'junit', 'testing', 'api']",5.11.4,Central,1285,"Dec 16, 2024",True
23,org.junit.jupiter,junit-jupiter-engine,16803,EPL 2.0,['Testing Frameworks & Tools'],"['quality', 'junit', 'testing', 'engine']",5.11.4,Central,1301,"Dec 16, 2024",True
24,org.slf4j,slf4j-simple,16216,MIT,['Logging Frameworks'],"['logging', 'slf4j']",2.0.16,Central,1089,"Aug 10, 2024",True
25,com.fasterxml.jackson.core,jackson-core,15873,Apache 2.0,['JSON Libraries'],"['format', 'json', 'serialization', 'jackson']",2.18.2,Central,1099,"Nov 28, 2024",True
26,org.springframework,spring-context,15576,Apache 2.0,['Dependency Injection'],"['context', 'spring', 'dependency-injection', 'ioc', 'framework']",6.2.3,Central,39,"Feb 13, 2025",True
27,org.mockito,mockito-all,15513,MIT,['Mocking'],"['quality', 'mock', 'mocking', 'testing', 'mockito']",1.10.19,Central,6315,"Dec 31, 2014",True
28,org.apache.httpcomponents,httpclient,15477,Apache 2.0,['HTTP Clients'],"['network', 'apache', 'client', 'http']",4.5.14,Central,2484,"Nov 30, 2022",True
29,com.google.code.findbugs,jsr305,15349,Apache 2.0,['Defect Detection Metadata'],"['quality', 'defect', 'jsr', 'google', 'analysis', 'findbugs', 'metadata']",3.0.2,Central,9269,"Mar 31, 2017",True
