library_id,annotation,occurrences,files,source_spellings
guava,Override,6474,422,Override
mysql-connector-j,Override,6320,372,Override;java.lang.Override
h2,Override,5095,620,Override
commons-lang,Test,4488,227,Test
guava,Nullable,4351,408,Nullable
commons-collections,Override,3718,533,Override
jackson-databind,Override,3683,410,Override
fastjson,Override,2446,361,Override
commons-io,Test,2394,226,Test
log4j-core,Override,2026,431,Override
commons-collections,Test,1919,221,Test
mysql-connector-j,Test,1776,110,Test
spring-context,Nullable,1687,321,Nullable
protobuf-java,Override,1596,76,Override
spring-context,Override,1445,325,Override
assertj-core,Override,1364,208,Override
httpclient,Override,1248,237,Override
commons-io,Override,1207,259,Override
joda-time,Override,1134,115,Override
guava,ParametricNullness,1119,155,ParametricNullness
lombok,Override,1067,203,Override
log4j-api,Override,1040,73,Override
commons-beanutils,Test,960,119,Test
commons-lang,Override,940,173,Override
junit-jupiter-api,Nullable,937,46,Nullable
commons-codec,Test,898,67,Test
commons-collections,SuppressWarnings,859,270,SuppressWarnings
guava,SuppressWarnings,848,249,SuppressWarnings
guava,CanIgnoreReturnValue,836,186,CanIgnoreReturnValue
jackson-core,Override,826,76,Override
guava,GwtIncompatible,807,287,GwtIncompatible;Partially.GwtIncompatible
mockito-core,Override,767,199,Override
guava,J2ktIncompatible,650,252,J2ktIncompatible
commons-io,SuppressWarnings,460,152,SuppressWarnings
commons-beanutils,Override,442,140,Override
junit-jupiter-api,API,399,137,API
gson,Override,382,46,Override
commons-logging,Override,339,50,Override
log4j-core,Deprecated,337,119,Deprecated
guava,GwtCompatible,334,333,GwtCompatible
commons-lang,Deprecated,322,111,Deprecated
assertj-core,CheckReturnValue,308,63,CheckReturnValue
jackson-databind,SuppressWarnings,303,114,SuppressWarnings
commons-lang,SuppressWarnings,296,130,SuppressWarnings
assertj-core,SuppressWarnings,282,63,SuppressWarnings
log4j-core,PluginBuilderAttribute,279,54,PluginBuilderAttribute
commons-io,ParameterizedTest,233,53,ParameterizedTest
commons-io,Deprecated,227,65,Deprecated
log4j-core,Plugin,221,187,Plugin
commons-codec,Override,220,71,Override
guava,Deprecated,219,64,Deprecated
commons-io,MethodSource,204,37,MethodSource
log4j-core,PluginAttribute,204,55,PluginAttribute
org.osgi.core,Override,197,24,Override
mysql-connector-j,SuppressWarnings,197,69,SuppressWarnings
logback-classic,Override,182,86,Override
slf4j-api,Override,180,14,Override
protobuf-java,SuppressWarnings,180,49,SuppressWarnings
protobuf-java,Deprecated,172,21,Deprecated
httpclient,Deprecated,166,81,Deprecated
httpclient,Contract,163,163,Contract
guava,VisibleForTesting,159,63,VisibleForTesting
spring-context,SuppressWarnings,156,120,SuppressWarnings
protobuf-java,CanIgnoreReturnValue,148,33,CanIgnoreReturnValue
h2,SuppressWarnings,141,72,SuppressWarnings
commons-lang,ParameterizedTest,138,30,ParameterizedTest
log4j-api,SuppressWarnings,136,21,SuppressWarnings
guava,DoNotCall,125,23,DoNotCall
commons-codec,Deprecated,124,27,Deprecated
lombok,Provides,121,98,Provides
mockito-core,SuppressWarnings,118,63,SuppressWarnings
log4j-core,PluginElement,116,64,PluginElement
commons-lang,MethodSource,112,19,MethodSource
assertj-core,SafeVarargs,110,22,SafeVarargs
gson,SuppressWarnings,109,39,SuppressWarnings
guava,LazyInit,108,52,LazyInit
retrofit,Nullable,108,21,Nullable
retrofit,Override,105,16,Override
log4j-core,Nullable,103,19,Nullable
httpclient,Internal,98,77,Internal
guava,NonNull,98,17,NonNull
log4j-core,SuppressWarnings,98,64,SuppressWarnings
commons-lang,Nested,96,2,Nested
lombok,SuppressWarnings,96,54,SuppressWarnings;java.lang.SuppressWarnings
fastjson,SuppressWarnings,90,15,SuppressWarnings
guava,WeakOuter,87,32,WeakOuter
commons-beanutils,BeforeEach,85,85,BeforeEach
junit-jupiter-api,Override,83,36,Override
jackson-databind,JacksonStdImpl,81,49,JacksonStdImpl
commons-codec,ParameterizedTest,71,14,ParameterizedTest
log4j-core,PluginFactory,70,70,PluginFactory
lombok,Retention,69,50,Retention
lombok,Target,69,50,Target
log4j-core,JsonProperty,68,9,JsonProperty
commons-lang,FunctionalInterface,67,58,FunctionalInterface
guava,GuardedBy,66,11,GuardedBy
gson,CanIgnoreReturnValue,65,8,CanIgnoreReturnValue
guava,InlineMe,65,34,InlineMe
commons-codec,MethodSource,65,14,MethodSource
commons-beanutils,AfterEach,63,63,AfterEach
log4j-core,PluginBuilderFactory,63,61,PluginBuilderFactory
junit-jupiter-api,Retention,63,61,Retention
junit-jupiter-api,Target,63,61,Target
commons-io,BeforeEach,62,62,BeforeEach
log4j-core,PerformanceSensitive,56,52,PerformanceSensitive
spring-context,Retention,56,55,Retention
spring-context,Target,56,55,Target
spring-context,Documented,55,55,Documented
spring-context,NullMarked,55,55,NullMarked
jackson-databind,Deprecated,54,33,Deprecated
mysql-connector-j,Deprecated,54,25,Deprecated;java.lang.Deprecated
log4j-core,SuppressFBWarnings,54,39,SuppressFBWarnings
spring-context,Deprecated,53,31,Deprecated
log4j-core,JacksonXmlProperty,52,9,JacksonXmlProperty
junit-jupiter-api,Contract,50,8,Contract
log4j-core,Export,50,50,Export
maven-plugin-api,Override,50,7,Override
log4j-core,Version,50,50,Version
assertj-core,CanIgnoreReturnValue,47,8,CanIgnoreReturnValue
log4j-core,ConverterKeys,47,40,ConverterKeys
