component,packages,files,libraries,library_ids,example_packages
org,461,7002,20,assertj-core;commons-beanutils;commons-codec;commons-collections;commons-io;commons-lang;commons-logging;h2;httpclient;joda-time;junit-jupiter-api;log4j-api;log4j-core;lombok;maven-plugin-api;mockito-core;org.osgi.core;slf4j-api;spring-context;testng,org.apache.commons.beanutils2;org.apache.commons.beanutils2.bugs;org.apache.commons.beanutils2.bugs.other;org.apache.commons.beanutils2.converters;org.apache.commons.beanutils2.expression
util,35,562,15,assertj-core;commons-lang;fastjson;gson;guava;h2;jackson-core;jackson-databind;junit-jupiter-api;log4j-api;log4j-core;logback-classic;lombok;mockito-core;mysql-connector-j,ch.qos.logback.classic.model.util;ch.qos.logback.classic.util;com.alibaba.fastjson2.util;com.google.common.util.concurrent;com.google.gson.internal.bind.util
internal,79,531,13,assertj-core;commons-logging;fastjson;gson;guava;jackson-databind;log4j-api;log4j-core;lombok;mockito-core;mysql-connector-j;retrofit;testng,com.alibaba.fastjson2.internal;com.alibaba.fastjson2.internal.asm;com.alibaba.fastjson2.internal.mixin.spring;com.alibaba.fastjson2.internal.trove.map.hash;com.google.common.base.internal
apache,203,3640,10,commons-beanutils;commons-codec;commons-collections;commons-io;commons-lang;commons-logging;httpclient;log4j-api;log4j-core;maven-plugin-api,org.apache.commons.beanutils2;org.apache.commons.beanutils2.bugs;org.apache.commons.beanutils2.bugs.other;org.apache.commons.beanutils2.converters;org.apache.commons.beanutils2.expression
commons,100,2292,6,commons-beanutils;commons-codec;commons-collections;commons-io;commons-lang;commons-logging,org.apache.commons.beanutils2;org.apache.commons.beanutils2.bugs;org.apache.commons.beanutils2.bugs.other;org.apache.commons.beanutils2.converters;org.apache.commons.beanutils2.expression
com,87,1939,6,fastjson;gson;guava;lombok;mysql-connector-j;protobuf-java,com.alibaba.fastjson2;com.alibaba.fastjson2.annotation;com.alibaba.fastjson2.codec;com.alibaba.fastjson2.filter;com.alibaba.fastjson2.function
io,25,638,6,commons-io;guava;httpclient;jackson-core;junit-jupiter-api;mockito-core,com.google.common.io;org.apache.commons.io;org.apache.commons.io.build;org.apache.commons.io.channels;org.apache.commons.io.charset
impl,17,316,6,commons-logging;fastjson;h2;httpclient;jackson-databind;log4j-core,com.alibaba.fastjson2.function.impl;org.apache.commons.logging.impl;org.apache.hc.client5.http.impl;org.apache.hc.client5.http.impl.async;org.apache.hc.client5.http.impl.auth
annotation,13,162,6,assertj-core;fastjson;jackson-databind;log4j-core;lombok;spring-context,com.alibaba.fastjson2.annotation;java.lang.annotation;org.apache.logging.log4j.core.internal.annotation;org.assertj.core.annotation;org.assertj.core.internal.annotation
filter,7,59,6,assertj-core;fastjson;jackson-core;log4j-core;logback-classic;mockito-core,ch.qos.logback.classic.filter;com.alibaba.fastjson2.filter;org.apache.logging.log4j.core.filter;org.apache.logging.log4j.core.filter.mutable;org.assertj.core.api.filter
log4j,73,913,5,commons-logging;log4j-api;log4j-core;logback-classic;lombok,ch.qos.logback.classic.log4j;lombok.extern.log4j;org.apache.commons.logging.log4j;org.apache.commons.logging.log4j.log4j12;org.apache.logging.log4j
tools,60,777,5,h2;jackson-core;jackson-databind;log4j-core;lombok,com.sun.tools.javac.code;com.sun.tools.javac.comp;com.sun.tools.javac.file;com.sun.tools.javac.main;com.sun.tools.javac.parser
api,21,489,5,assertj-core;h2;junit-jupiter-api;log4j-core;mockito-core,org.apache.logging.log4j.core.config.builder.api;org.assertj.core.api;org.assertj.core.api.comparisonstrategy;org.assertj.core.api.exception;org.assertj.core.api.filter
function,7,238,5,commons-io;commons-lang;fastjson;h2;junit-jupiter-api,com.alibaba.fastjson2.function;com.alibaba.fastjson2.function.impl;org.apache.commons.io.function;org.apache.commons.lang3.function;org.h2.expression.function
spi,7,81,5,commons-io;log4j-api;logback-classic;lombok;slf4j-api,ch.qos.logback.classic.spi;lombok.spi;org.apache.commons.io.file.spi;org.apache.logging.log4j.spi;org.apache.logging.log4j.spi.recycler
core,106,1735,4,assertj-core;jackson-core;log4j-core;lombok,lombok.core;lombok.core.configuration;lombok.core.debug;lombok.core.handlers;lombok.core.runtimeDependencies
logging,92,987,4,commons-logging;log4j-api;log4j-core;maven-plugin-api,org.apache.commons.logging;org.apache.commons.logging.avalon;org.apache.commons.logging.config;org.apache.commons.logging.impl;org.apache.commons.logging.jdk14
jackson,51,741,4,jackson-core;jackson-databind;log4j-core;lombok,lombok.extern.jackson;org.apache.logging.log4j.core.jackson;tools.jackson.core;tools.jackson.core.async;tools.jackson.core.base
config,26,221,4,commons-logging;httpclient;log4j-core;spring-context,org.apache.commons.logging.config;org.apache.hc.client5.http.config;org.apache.logging.log4j.core.config;org.apache.logging.log4j.core.config.arbiters;org.apache.logging.log4j.core.config.builder.api
junit,14,221,4,assertj-core;commons-collections;junit-jupiter-api;mockito-core,org.apache.commons.collections4.junit;org.assertj.core.api.junit.jupiter;org.junit.jupiter.api;org.junit.jupiter.api.condition;org.junit.jupiter.api.extension
concurrent,6,173,4,commons-lang;guava;mockito-core;spring-context,com.google.common.util.concurrent;org.apache.commons.lang3.concurrent;org.apache.commons.lang3.concurrent.locks;org.mockito.internal.util.concurrent;org.springframework.cache.concurrent
async,7,112,4,h2;httpclient;jackson-core;log4j-core,org.apache.hc.client5.http.async;org.apache.hc.client5.http.async.methods;org.apache.hc.client5.http.impl.async;org.apache.logging.log4j.core.async;org.h2.store.fs.async
jmx,13,99,4,h2;log4j-core;mysql-connector-j;spring-context,com.mysql.cj.jdbc.jmx;org.apache.logging.log4j.core.jmx;org.apache.logging.log4j.core.jmx.internal;org.h2.jmx;org.springframework.jmx
base,5,78,4,guava;jackson-core;joda-time;mockito-core,com.google.common.base;com.google.common.base.internal;org.joda.time.base;org.mockito.exceptions.base;tools.jackson.core.base
net,6,75,4,commons-codec;guava;log4j-core;logback-classic,ch.qos.logback.classic.net;ch.qos.logback.classic.net.server;com.google.common.net;org.apache.commons.codec.net;org.apache.logging.log4j.core.net
annotations,5,49,4,assertj-core;gson;guava;testng,com.google.common.annotations;com.google.gson.annotations;org.assertj.core.annotations;org.testng.annotations;org.testng.internal.annotations
json,5,46,4,h2;jackson-core;jackson-databind;log4j-core,org.apache.logging.log4j.core.config.json;org.h2.util.json;tools.jackson.core.json;tools.jackson.core.json.async;tools.jackson.databind.json
google,28,833,3,gson;guava;protobuf-java,com.google.common.annotations;com.google.common.base;com.google.common.base.internal;com.google.common.cache;com.google.common.collect
context,12,214,3,h2;log4j-core;spring-context,org.apache.logging.log4j.core.context.internal;org.h2.bnf.context;org.springframework.context;org.springframework.context.annotation;org.springframework.context.aot
time,10,208,3,commons-lang;joda-time;log4j-core,org.apache.commons.lang3.time;org.apache.logging.log4j.core.time;org.apache.logging.log4j.core.time.internal;org.joda.time;org.joda.time.base
expression,8,161,3,commons-beanutils;h2;spring-context,org.apache.commons.beanutils2.expression;org.h2.expression;org.h2.expression.aggregate;org.h2.expression.analysis;org.h2.expression.condition
jdbc,13,145,3,h2;log4j-core;mysql-connector-j,com.mysql.cj.jdbc;com.mysql.cj.jdbc.admin;com.mysql.cj.jdbc.exceptions;com.mysql.cj.jdbc.ha;com.mysql.cj.jdbc.integration.c3p0
support,12,98,3,fastjson;junit-jupiter-api;spring-context,com.alibaba.fastjson2.support;com.alibaba.fastjson2.support.csv;com.alibaba.fastjson2.support.money;org.junit.jupiter.api.extension.support;org.springframework.cache.support
cache,8,94,3,guava;h2;spring-context,com.google.common.cache;org.h2.mvstore.cache;org.springframework.cache;org.springframework.cache.annotation;org.springframework.cache.concurrent
condition,3,69,3,assertj-core;h2;junit-jupiter-api,org.assertj.core.condition;org.h2.expression.condition;org.junit.jupiter.api.condition
configuration,8,69,3,assertj-core;lombok;mockito-core,lombok.core.configuration;org.assertj.core.configuration;org.mockito.configuration;org.mockito.internal.configuration;org.mockito.internal.configuration.injection
reflect,5,59,3,commons-lang;gson;guava,com.google.common.reflect;com.google.gson.internal.reflect;com.google.gson.reflect;org.apache.commons.lang3.reflect;org.apache.commons.lang3.reflect.testbed
message,3,56,3,h2;log4j-api;log4j-core,org.apache.logging.log4j.core.message;org.apache.logging.log4j.message;org.h2.message
slf4j,6,50,3,commons-logging;lombok;slf4j-api,lombok.extern.slf4j;org.apache.commons.logging.slf4j;org.slf4j;org.slf4j.event;org.slf4j.helpers
simple,3,40,3,commons-logging;log4j-api;mysql-connector-j,org.apache.commons.logging.simple;org.apache.logging.log4j.simple;testsuite.simple
event,3,37,3,commons-lang;slf4j-api;spring-context,org.apache.commons.lang3.event;org.slf4j.event;org.springframework.context.event
