package,files,libraries,library_ids
org.assertj.core.error,304,1,assertj-core
org.assertj.core.api,220,1,assertj-core
com.google.common.collect,216,1,guava
com.alibaba.fastjson2.reader,155,1,fastjson
com.google.protobuf,140,1,protobuf-java
org.apache.commons.io.input,124,1,commons-io
org.apache.commons.lang3,119,1,commons-lang
com.alibaba.fastjson2.writer,118,1,fastjson
org.apache.commons.beanutils2.converters,102,1,commons-beanutils
org.apache.commons.beanutils2,97,1,commons-beanutils
com.mysql.cj.xdevapi,95,1,mysql-connector-j
org.apache.commons.collections4.map,95,1,commons-collections
org.apache.commons.collections4.iterators,90,1,commons-collections
org.apache.commons.lang3.function,85,1,commons-lang
com.google.common.util.concurrent,84,1,guava
org.apache.commons.collections4,84,1,commons-collections
org.apache.commons.io,83,1,commons-io
org.springframework.context.annotation,80,1,spring-context
org.apache.commons.io.output,76,1,commons-io
org.apache.logging.log4j.core.pattern,75,1,log4j-core
org.assertj.core.internal,75,1,assertj-core
org.apache.commons.collections4.bloomfilter,74,1,commons-collections
org.apache.commons.io.function,66,1,commons-io
com.mysql.cj.protocol.a,65,1,mysql-connector-j
org.apache.commons.collections4.functors,65,1,commons-collections
org.h2.command.ddl,64,1,h2
org.junit.jupiter.api,63,1,junit-jupiter-api
org.apache.commons.lang3.concurrent,61,1,commons-lang
org.apache.logging.log4j.core.util,60,1,log4j-core
org.apache.commons.lang3.builder,58,1,commons-lang
org.h2.value,56,1,h2
com.google.common.graph,54,1,guava
com.alibaba.fastjson2,52,1,fastjson
com.google.common.base,52,1,guava
org.testng,52,1,testng
org.h2.expression.function,51,1,h2
com.mysql.cj.result,49,1,mysql-connector-j
org.h2.util,49,1,h2
org.apache.commons.codec.binary,48,1,commons-codec
org.joda.time,48,1,joda-time
com.mysql.cj.jdbc,47,1,mysql-connector-j
com.mysql.cj.protocol,47,1,mysql-connector-j
org.apache.logging.log4j.message,47,1,log4j-api
com.mysql.cj,46,1,mysql-connector-j
org.junit.jupiter.api.extension,46,1,junit-jupiter-api
org.apache.commons.io.filefilter,45,1,commons-io
com.mysql.cj.protocol.x,44,1,mysql-connector-j
org.apache.commons.io.file,44,1,commons-io
org.apache.logging.log4j.core.config,44,1,log4j-core
org.apache.logging.log4j.util,42,1,log4j-api
tools.jackson.databind.introspect,42,1,jackson-databind
tools.jackson.databind.util,41,1,jackson-databind
lombok.javac.handlers,40,1,lombok
org.apache.commons.codec.digest,40,1,commons-codec
com.google.common.io,38,1,guava
org.apache.hc.client5.http.impl.classic,38,1,httpclient
org.apache.logging.log4j.core.appender,38,1,log4j-core
org.junit.jupiter.api.condition,38,1,junit-jupiter-api
tools.jackson.databind.deser.jdk,38,1,jackson-databind
ch.qos.logback.classic.pattern,37,1,logback-classic
org.apache.commons.lang3.time,37,1,commons-lang
lombok.eclipse.handlers,36,1,lombok
org.h2.expression,36,1,h2
org.osgi.framework,36,1,org.osgi.core
org.apache.commons.collections4.set,35,1,commons-collections
org.apache.hc.client5.http.impl.auth,35,1,httpclient
org.assertj.core.util,35,1,assertj-core
tools.jackson.databind.ser.jdk,35,1,jackson-databind
org.apache.hc.client5.http.impl.async,34,1,httpclient
org.apache.logging.log4j.core.async,34,1,log4j-core
tools.jackson.databind,34,1,jackson-databind
com.google.common.hash,33,1,guava
org.springframework.cache.interceptor,33,1,spring-context
org.testng.annotations,33,1,testng
lombok.core,32,1,lombok
org.apache.logging.log4j.core.jackson,32,1,log4j-core
org.h2.table,32,1,h2
org.apache.commons.beanutils2.bugs,31,1,commons-beanutils
org.apache.hc.client5.http.impl,31,1,httpclient
org.joda.time.chrono,31,1,joda-time
org.springframework.context.support,31,1,spring-context
tools.jackson.core,31,1,jackson-core
tools.jackson.databind.cfg,31,1,jackson-databind
com.google.gson,30,1,gson
com.mysql.cj.exceptions,30,1,mysql-connector-j
org.apache.logging.log4j.core.layout,30,1,log4j-core
org.apache.logging.log4j.spi,30,1,log4j-api
testsuite.simple,30,1,mysql-connector-j
tools.jackson.databind.node,30,1,jackson-databind
lombok.core.configuration,29,1,lombok
org.apache.commons.collections4.bag,29,1,commons-collections
org.apache.commons.collections4.list,29,1,commons-collections
org.h2.engine,29,1,h2
org.mockito,29,1,mockito-core
org.h2.jdbc,28,1,h2
org.mockito.internal.matchers,28,1,mockito-core
com.alibaba.fastjson2.util,27,1,fastjson
org.apache.logging.log4j.core.lookup,27,1,log4j-core
retrofit2,27,1,retrofit
tools.jackson.core.util,27,1,jackson-core
com.google.common.primitives,26,1,guava
com.mysql.cj.conf,26,1,mysql-connector-j
lombok,26,1,lombok
org.apache.hc.client5.http.async.methods,26,1,httpclient
org.apache.logging.log4j.core.appender.rolling.action,26,1,log4j-core
retrofit2.http,26,1,retrofit
testsuite.x.devapi,26,1,mysql-connector-j
tools.jackson.databind.jsontype.impl,26,1,jackson-databind
lombok.javac,25,1,lombok
org.apache.commons.codec.language,25,1,commons-codec
org.h2.command.dml,25,1,h2
org.joda.time.field,25,1,joda-time
org.springframework.context.event,25,1,spring-context
ch.qos.logback.classic.spi,24,1,logback-classic
org.apache.commons.collections4.bidimap,24,1,commons-collections
org.apache.commons.lang3.exception,24,1,commons-lang
org.apache.hc.client5.http.entity.mime,24,1,httpclient
org.h2.index,24,1,h2
org.h2.tools,24,1,h2
org.springframework.context,24,1,spring-context
org.springframework.validation,24,1,spring-context
org.apache.hc.client5.http,23,1,httpclient
org.apache.hc.client5.http.auth,23,1,httpclient
org.apache.logging.log4j.core.appender.rolling,23,1,log4j-core
org.apache.logging.log4j.core.impl,23,1,log4j-core
tools.jackson.databind.deser,23,1,jackson-databind
com.google.common.cache,22,1,guava
org.apache.commons.codec,22,1,commons-codec
org.apache.commons.logging,22,1,commons-logging
org.apache.logging.log4j.core.net,22,1,log4j-core
org.h2.expression.condition,22,1,h2
org.h2.result,22,1,h2
org.slf4j.helpers,22,1,slf4j-api
org.springframework.scheduling.config,22,1,spring-context
org.apache.commons.io.build,21,1,commons-io
org.apache.commons.lang3.text,21,1,commons-lang
org.apache.commons.lang3.text.translate,21,1,commons-lang
