folder,java_code_lines
fastjson2,443100
commons-beanutils,24869
commons-codec,26682
commons-collections,73412
commons-io,61328
commons-lang,100817
commons-logging,6372
httpcomponents-client,98009
logging-log4j2,120140
logging-log4j2-api,120140
maven,206826
maven-plugin-tools,10771
assertj,230342
jackson-annotations,3688
jackson-core,86525
jackson-databind,196563
gson,36422
guava,352293
h2database,244590
joda-time,88384
junit-framework,133200
mockito,64327
mysql-connector-j,215039
osgi,282311
lombok,99862
logback,59774
slf4j,14098
spring-boot,502660
spring-framework,848956
retrofit,28151
JSON-java,16329
testng,99997
protobuf-java,87884
