timestamp_utc,repo_name,repo_path,default_ref,commit_index,commit,commit_subject,build_tool,build_command,elapsed_seconds,exit_code,outcome,message
2026-03-29T09:19:28.071881+00:00,FasterXML__jackson-core,FasterXML__jackson-core,refs/remotes/origin/3.x,1,6dbf54186b36f116f426cb60373cab53cfd9a36d,Merge branch '3.1' into 3.x,maven,sh ./mvnw -B clean package -DskipTests -Dmaven.repo.local=/data/tmp-build/cache/m2,11.141121,0,success,
2026-03-29T09:19:33.431146+00:00,FasterXML__jackson-core,FasterXML__jackson-core,refs/remotes/origin/3.x,2,2a0054aead585f616238d1df6a70972f72277711,Add `NonBlockingByteBufferParser` tests for JSON-escaped surrogate pairs in field names (#1581) (#1582),maven,sh ./mvnw -B clean package -DskipTests -Dmaven.repo.local=/data/tmp-build/cache/m2,5.312209,0,success,
2026-03-29T09:19:38.727631+00:00,FasterXML__jackson-core,FasterXML__jackson-core,refs/remotes/origin/3.x,3,f97baf9d78883c818748e9eb2f1df169c4693f55,Trigger 3.x cascading publish,maven,sh ./mvnw -B clean package -DskipTests -Dmaven.repo.local=/data/tmp-build/cache/m2,5.271898,0,success,
2026-03-29T09:19:43.980040+00:00,FasterXML__jackson-core,FasterXML__jackson-core,refs/remotes/origin/3.x,4,c53454a55c2e8f6642459378befaf7fe28050f1d,Add `JsonParser.willInternPropertyNames()` for property name intern introspection (#1211) (#1580),maven,sh ./mvnw -B clean package -DskipTests -Dmaven.repo.local=/data/tmp-build/cache/m2,5.229235,0,success,
2026-03-29T09:19:49.230022+00:00,FasterXML__jackson-core,FasterXML__jackson-core,refs/remotes/origin/3.x,5,701cd6af465c586aa9b33e95294acde034bd17af,Implement document length tracking for DataInput-backed JSON parsers via subclass (#1575),maven,sh ./mvnw -B clean package -DskipTests -Dmaven.repo.local=/data/tmp-build/cache/m2,5.224596,0,success,
2026-03-29T09:19:54.467171+00:00,FasterXML__jackson-core,FasterXML__jackson-core,refs/remotes/origin/3.x,6,93a8a168dd89185226bf3dc3e6f9fada0c7760c1,Fix version number -- somehow reverted to 3.1.0-SNAPSHOT,maven,sh ./mvnw -B clean package -DskipTests -Dmaven.repo.local=/data/tmp-build/cache/m2,5.210462,0,success,
2026-03-29T09:20:03.152773+00:00,FasterXML__jackson-core,FasterXML__jackson-core,refs/remotes/origin/3.x,7,032014d1c9a2f95c2425b7519ee04d223e2f83ef,Use intrinsified Math.multiplyHigh() (#1577),maven,sh ./mvnw -B clean package -DskipTests -Dmaven.repo.local=/data/tmp-build/cache/m2,8.662415,0,success,
2026-03-29T09:20:08.436014+00:00,FasterXML__jackson-core,FasterXML__jackson-core,refs/remotes/origin/3.x,8,c6f47e4d748d5c38efaac4fdf639418826366f4c,Fix release notes,maven,sh ./mvnw -B clean package -DskipTests -Dmaven.repo.local=/data/tmp-build/cache/m2,5.26063,0,success,
2026-03-29T09:20:13.728244+00:00,FasterXML__jackson-core,FasterXML__jackson-core,refs/remotes/origin/3.x,9,e6bf8d18d7e90f27eadbd29c671426ee38ed3da9,Merge branch '3.1' into 3.x,maven,sh ./mvnw -B clean package -DskipTests -Dmaven.repo.local=/data/tmp-build/cache/m2,5.269407,0,success,
2026-03-29T09:20:19.019836+00:00,FasterXML__jackson-core,FasterXML__jackson-core,refs/remotes/origin/3.x,10,436019c2f467afe57f0faa35bc393aeac7a5010f,Merge branch '3.1' into 3.x,maven,sh ./mvnw -B clean package -DskipTests -Dmaven.repo.local=/data/tmp-build/cache/m2,5.268007,0,success,
